id,year,season,title,title_short1,twitter_account,public_url,sex,sequel,protcol,cln_title,vocabulary
128,2013,4,ユリ熊嵐,ユリ熊嵐,yurikuma_anime,,0,0,other,ユリ 熊 嵐,"[1, 4, 5, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
1,2014,1,世界征服～謀略のズヴィズダー,ズヴィズダー,project_ssf,http://www.sekaiseifuku-zzz.com/,0,0,http,世界 征服 ～ 謀略 の ズヴィズダー,"[1, 7, 8, 9, 10, 11, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
2,2014,1,ニセコイ,ニセコイ,nisekoi_k,http://www.nisekoi.jp/,0,0,http,ニセ コイ,"[1, 13, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
3,2014,1,凪のあすから,凪あす,naginoasukara,http://nagiasu.jp/,0,0,http,凪 の あす から,"[1, 15, 11, 16, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
4,2014,1,ストライク・ザ・ブラッド,ストブラ,stb_anime,http://www.strike-the-blood.com/,0,0,http,ストライク・ザ・ブラッド,"[1, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
5,2014,1,魔法戦争,魔法戦争,anime_mahosen,http://www.tbs.co.jp/anime/mahosen/,0,0,http,魔法 戦争,"[1, 19, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
6,2014,1,"Wake Up, Girls!",WUG,wakeupgirls_PR,http://wakeupgirls.jp/,0,0,http,"Wake   Up ,   Girls !","[1, 21, 22, 23, 24, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
7,2014,1,のうりん,のうりん,norin_anime,http://no-rin.tv/,0,0,http,のう りん,"[1, 26, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
8,2014,1,咲-Saki-全国編,咲,SakiAnime,http://www.saki-anime.com,0,0,http,咲 - Saki - 全国 編,"[1, 28, 29, 30, 29, 31, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
9,2014,1,中二病でも恋がしたい！戀,中二病,anime_chu_2,http://www.anime-chu-2.com/,0,0,http,中 二 病 で も 恋 が し たい ！ 戀,"[1, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
10,2014,1,ガンダムビルドファイターズ,ガンダムBF,buildfighters,http://gundam-bf.net/,0,0,http,ガンダムビルドファイターズ,"[1, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
11,2014,1,ログ・ホライズン,ログホラ,nhk_loghorizon,http://www3.nhk.or.jp/anime/loghorizon/,0,0,http,ログ・ホライズン,"[1, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
12,2014,1,キルラキル,キルラキル,kill_la_kill,http://www.kill-la-kill.jp/,0,0,http,キルラキル,"[1, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
13,2014,1,桜Trick,桜Trick,sakuratrick_pr,http://www.tbs.co.jp/anime/sakura/,0,0,http,桜 Trick,"[1, 47, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
14,2014,1,未確認で進行形,未確認,mikakunin_anime,http://www.mikakunin.jp/,0,0,http,未 確認 で 進行 形,"[1, 49, 50, 36, 51, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
15,2014,1,サムライフラメンコ,サムフラ,samumenco,http://www.samumenco.com/,0,0,http,サムライ フラメンコ,"[1, 53, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
16,2014,1,ウィッチクラフトワークス,ウィッチ,Witch_CW_anime,http://witch-cw-anime.jp,0,0,http,ウィッチクラフトワークス,"[1, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
17,2014,1,生徒会役員共＊,生徒会,seitokai0428,http://www.starchild.co.jp/special/seitokai2/,0,0,http,生徒 会 役員 共 ＊,"[1, 56, 57, 58, 59, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
18,2014,1,ノラガミ,ノラガミ,noragami_PR,http://noragami-anime.net,0,0,http,ノラガミ,"[1, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
19,2014,1,銀の匙 Silver Spoon,銀の匙,ezono_official,http://www.ginsaji-anime.com,0,0,http,銀 の 匙   Silver   Spoon,"[1, 62, 11, 63, 64, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
21,2014,2,魔法科高校の劣等生,劣等生,mahouka_anime,http://mahouka.jp,0,0,http,魔法 科 高校 の 劣等 生,"[1, 19, 66, 67, 11, 68, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
22,2014,2,ラブライブ! 第2期,ラブライブ!,LoveLive_staff,http://www.lovelive-anime.jp,0,0,http,ラブ ライブ !   第 2 期,"[1, 70, 71, 25, 72, 73, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
23,2014,2,メカクシティアクターズ ,メカクシ,mekakushidan,http://www.mekakucityactors.com,0,0,http,メカクシティアクターズ,"[1, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
24,2014,2,デート・ア・ライブII,デート・ア・ライブ,date_a_info,http://date-a-live-anime.com,0,0,http,デート・ア・ライブ II,"[1, 76, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
25,2014,2,犬神さんと猫山さん,犬神さんと猫山さん,anime_inuneko,http://www.dreamcreation.co.jp/inuneko/,0,0,http,犬 神 さん と 猫山 さん,"[1, 78, 79, 80, 81, 82, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
26,2014,2,ピンポン,ピンポン,pingpong_anime,http://www.pingpong-anime.tv,0,0,http,ピンポン,"[1, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
27,2014,2,ご注文はうさぎですか?,ごちうさ,usagi_anime,http://www.gochiusa.com,0,0,http,ご 注文 は うさぎ です か ?,"[1, 84, 85, 86, 87, 88, 89, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
28,2014,2,龍ヶ嬢七々々の埋蔵金,龍ヶ嬢七々々の埋蔵金,nanana_tv,http://www.nanana.tv,0,0,http,龍 ヶ 嬢 七 々 々 の 埋蔵 金,"[1, 91, 92, 93, 94, 95, 95, 11, 96, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
29,2014,2,ノーゲーム・ノーライフ,ノーゲーム・ノーライフ,ngnl_anime,http://ngnl.jp,0,0,http,ノーゲーム ・ ノー ライフ,"[1, 98, 99, 100, 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
30,2014,2,彼女がフラグをおられたら,彼女がフラグをおられたら,gaworare_TV,http://www.gaworare-anime.com,0,0,http,彼女 が フラグ を おら れ たら,"[1, 102, 39, 103, 104, 105, 106, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
31,2014,2,星刻の竜騎士,星刻の竜騎士,doragner_anime,http://www.seikokutv.com,0,0,http,星 刻 の 竜 騎士,"[1, 108, 109, 11, 110, 111, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
32,2014,2,ジョジョの奇妙な冒険,ジョジョ,anime_jojo,http://jojo-animation.com,0,0,http,ジョジョ の 奇妙 な 冒険,"[1, 112, 11, 113, 114, 115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
